Embassy,Location,Neighborhood,Image,Notes,Flag_url,Image_url,Flag_height,Image_height,Flag_width,Image_width,Reference_url,Location_query,lat,lng
 Gambia,5630 16th St NW,Sixteenth Street Heights,,60,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_The_Gambia.svg/23px-Flag_of_The_Gambia.svg.png,https:,15,0,23,0,http://gambiaembassydc.us/,"5630 16th St NW, Washington, DC",38.9583585,-77.0367363
 Georgia,1824 R Street NW,Dupont Circle,,61,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/23px-Flag_of_Georgia.svg.png,https:,15,0,23,0,http://usa.mfa.gov.ge/index.php?sec_id=38&lang_id=ENG,"1824 R Street NW, Washington, DC",38.9124074,-77.0428115
 Germany,4645 Reservoir Road NW,Colony Hill,,62,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/23px-Flag_of_Germany.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Embassy_of_Germany%2C_Washington.jpg/150px-Embassy_of_Germany%2C_Washington.jpg,14,84,23,150,http://www.germany.info,"4645 Reservoir Road NW, Washington, DC",38.9144985,-77.0888677
 Ghana,3512 International Drive NW,North Cleveland Park,,63,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/23px-Flag_of_Ghana.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/GhanaianEmbassyWashingtonDC.jpg/150px-GhanaianEmbassyWashingtonDC.jpg,15,99,23,150,http://www.ghanaembassy.org,"3512 International Drive NW, Washington, DC",38.9422678,-77.0681838
 Greece,2221 Massachusetts Avenue NW,Embassy Row,,64,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/23px-Flag_of_Greece.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Embassy_of_Greece_in_Washington_DC.jpg/150px-Embassy_of_Greece_in_Washington_DC.jpg,15,113,23,150,http://www.mfa.gr/usa/en/,"2221 Massachusetts Avenue NW, Washington, DC",38.912205,-77.0498351
 Grenada,1701 New Hampshire Avenue NW,Dupont Circle,,65,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Grenada.svg/23px-Flag_of_Grenada.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Embassy_of_Grenada.jpg/150px-Embassy_of_Grenada.jpg,14,241,23,150,http://www.grenadaembassyusa.org,"1701 New Hampshire Avenue NW, Washington, DC",38.9127954,-77.0401801
 Guatemala,2220 R Street NW,Embassy Row,,66,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/23px-Flag_of_Guatemala.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Embassy_of_Guatemala%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Guatemala%2C_Washington%2C_D.C..jpg,14,126,23,150,http://guatemalaembassyusa.org,"2220 R Street NW, Washington, DC",38.9124422,-77.0495861
 Guinea,2112 Leroy Place NW,Kalorama,,67,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Guinea.svg/23px-Flag_of_Guinea.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Guinea-embassy-dc.jpg/150px-Guinea-embassy-dc.jpg,15,200,23,150,http://guineaembassyusa.com,"2112 Leroy Place NW, Washington, DC",38.9155254,-77.0470691
 Guyana,2490 Tracy Place NW,Kalorama,,68,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/23px-Flag_of_Guyana.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Guyana%2C_Washington.JPG/150px-Guyana%2C_Washington.JPG,14,131,23,150,http://www.minfor.gov.gy/index.php/consular-services/diplomatic-consular-representatives/guyana-s-missions-overseas,"2490 Tracy Place NW, Washington, DC",38.9169422,-77.0557493
 Haiti,2311 Massachusetts Avenue NW,Embassy Row,,69,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/23px-Flag_of_Haiti.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Embassy_of_Haiti%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Haiti%2C_Washington%2C_D.C..jpg,14,174,23,150,http://www.haiti.org,"2311 Massachusetts Avenue NW, Washington, DC",38.9131166,-77.0513418
 Holy See (Vatican City),3339 Massachusetts Avenue NW,Embassy Row,,70,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_the_Vatican_City.svg/15px-Flag_of_the_Vatican_City.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/ApostolicNunciatureWashingtonDC.jpg/150px-ApostolicNunciatureWashingtonDC.jpg,15,150,15,150,http://apostolicnunciatureunitedstates.webstarts.com,"3339 Massachusetts Avenue NW, Washington, DC",38.9246558,-77.0656655
 Honduras,3007 Tilden Street NW,North Cleveland Park,,71,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Flag_of_Honduras.svg/23px-Flag_of_Honduras.svg.png,https:,12,0,23,0,http://www.hondurasemb.org,"3007 Tilden Street NW, Washington, DC",38.9416981,-77.06418149999999
 Hungary,3910 Shoemaker Street NW,Forest Hills,,72,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/23px-Flag_of_Hungary.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Hungarian_embassy_Washington_3016.JPG/150px-Hungarian_embassy_Washington_3016.JPG,12,113,23,150,http://washington.kormany.hu,"3910 Shoemaker Street NW, Washington, DC",38.940222,-77.053032
 Iceland,2900 K Street NW,Georgetown,,73,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/21px-Flag_of_Iceland.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Embassies_of_Sweden_and_Iceland_in_DC.JPG/150px-Embassies_of_Sweden_and_Iceland_in_DC.JPG,15,113,21,150,http://www.iceland.is/iceland-abroad/us/wdc/,"2900 K Street NW, Washington, DC",38.9019925,-77.05867889999999
 India,2107 Massachusetts Avenue NW,Embassy Row,,74,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Embassy_of_India%2C_DC.jpg/150px-Embassy_of_India%2C_DC.jpg,15,160,23,150,https://www.indianembassy.org,"2107 Massachusetts Avenue NW, Washington, DC",38.9113213,-77.0469904
 Indonesia,2020 Massachusetts Avenue NW,Embassy Row,,75,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/23px-Flag_of_Indonesia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Embassy_of_Indonesia%2C_Washington.jpg/150px-Embassy_of_Indonesia%2C_Washington.jpg,15,84,23,150,http://www.embassyofindonesia.org/wordpress/,"2020 Massachusetts Avenue NW, Washington, DC",38.9102407,-77.04628199999999
 Iraq,3421 Massachusetts Avenue NW,Embassy Row,,76,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Embassy_of_Iraq_in_Washington%2C_D.C..jpg/150px-Embassy_of_Iraq_in_Washington%2C_D.C..jpg,15,109,23,150,http://www.iraqiembassy.us,"3421 Massachusetts Avenue NW, Washington, DC",38.9254475,-77.0682513
 Ireland,2234 Massachusetts Avenue NW,Embassy Row,,77,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/23px-Flag_of_Ireland.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Embassy_of_Ireland_in_Washington_DC.jpg/150px-Embassy_of_Ireland_in_Washington_DC.jpg,12,110,23,150,https://www.dfa.ie/irish-embassy/usa/,"2234 Massachusetts Avenue NW, Washington, DC",38.9116837,-77.0501949
 Israel,3514 International Drive NW,North Cleveland Park,,78,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Israeli_Embassy_Washington_DC_3221.JPG/150px-Israeli_Embassy_Washington_DC_3221.JPG,15,113,21,150,http://www.israelemb.org/washington/pages/default.aspx,"3514 International Drive NW, Washington, DC",38.9427342,-77.06840869999999
 Italy,3000 Whitehaven Street NW,Embassy Row,,79,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/23px-Flag_of_Italy.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Embassy_of_Italy%2C_Washington%2C_D.C.jpg/150px-Embassy_of_Italy%2C_Washington%2C_D.C.jpg,15,93,23,150,http://www.ambwashingtondc.esteri.it/ambasciata_washington/it,"3000 Whitehaven Street NW, Washington, DC",38.9177911,-77.0604601
 Jamaica,1520 New Hampshire Avenue NW,Dupont Circle,,80,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/23px-Flag_of_Jamaica.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Embassy_of_Jamaica%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Jamaica%2C_Washington%2C_D.C..jpg,12,173,23,150,http://www.embassyofjamaica.org,"1520 New Hampshire Avenue NW, Washington, DC",38.9107867,-77.0427512
 Japan,2520 Massachusetts Avenue NW,Embassy Row,,81,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Embassy_of_Japan%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Japan%2C_Washington%2C_D.C..jpg,15,113,23,150,http://www.us.emb-japan.go.jp/english/html/,"2520 Massachusetts Avenue NW, Washington, DC",38.9155459,-77.0563564
 Jordan,3504 International Drive NW,North Cleveland Park,,82,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/23px-Flag_of_Jordan.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/JordanianEmbassyWashingtonDC01.jpg/150px-JordanianEmbassyWashingtonDC01.jpg,12,111,23,150,http://www.jordanembassyus.org,"3504 International Drive NW, Washington, DC",38.9412084,-77.06625009999999
 Kazakhstan,1401 16th Street NW,Dupont Circle,,83,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/23px-Flag_of_Kazakhstan.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Embassy_of_Kazakhstan_in_Washington.jpg/150px-Embassy_of_Kazakhstan_in_Washington.jpg,12,100,23,150,http://www.kazakhembus.com,"1401 16th Street NW, Washington, DC",38.9088729,-77.03601750000001
 Kenya,2249 R Street NW,Kalorama,,84,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/23px-Flag_of_Kenya.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Embassy_of_Kenya%2C_Washington%2C_D.C._002.jpg/150px-Embassy_of_Kenya%2C_Washington%2C_D.C._002.jpg,15,156,23,150,http://www.kenyaembassy.com,"2249 R Street NW, Washington, DC",38.9128173,-77.0502849
 Kosovo,1101 30th Street NW,Georgetown,,85,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Kosovo.svg/21px-Flag_of_Kosovo.svg.png,https:,15,0,21,0,http://ambasada-ks.net/us/,"1101 30th Street NW, Washington, DC",38.9046396,-77.0585291
 Kuwait,3500 International Drive NW,North Cleveland Park,,86,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/23px-Flag_of_Kuwait.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Kuwaiti_Embassy_Washington_DC3216.JPG/150px-Kuwaiti_Embassy_Washington_DC3216.JPG,12,113,23,150,http://www.kuwaitembassy.us,"3500 International Drive NW, Washington, DC",38.9412393,-77.06527229999999
 Kyrgyzstan,2360 Massachusetts Avenue NW,Embassy Row,,87,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/23px-Flag_of_Kyrgyzstan.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Embassy_of_Kyrgyzstan_United_States.JPG/150px-Embassy_of_Kyrgyzstan_United_States.JPG,14,201,23,150,http://www.kgembassy.org,"2360 Massachusetts Avenue NW, Washington, DC",38.9130486,-77.0524324
 Laos,2222 S Street NW,Kalorama,,88,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Laos.svg/23px-Flag_of_Laos.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Embassy_of_Laos_United_States.JPG/150px-Embassy_of_Laos_United_States.JPG,15,113,23,150,http://www.laoembassy.com,"2222 S Street NW, Washington, DC",38.9139301,-77.0494753
 Latvia,2306 Massachusetts Avenue NW,Embassy Row,,89,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/23px-Flag_of_Latvia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Embassy_of_Latvia%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Latvia%2C_Washington%2C_D.C..jpg,12,231,23,150,http://www.mfa.gov.lv/en/usa,"2306 Massachusetts Avenue NW, Washington, DC",38.911719,-77.051276
 Lebanon,2560 28th Street NW,Woodley Park,,90,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/23px-Flag_of_Lebanon.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Lebanese-embassy-dc049.JPG/150px-Lebanese-embassy-dc049.JPG,15,200,23,150,http://www.lebanonembassyus.org,"2560 28th Street NW, Washington, DC",38.9226549,-77.05624399999999
 Lesotho,2511 Massachusetts Avenue NW,Embassy Row,,91,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Lesotho.svg/23px-Flag_of_Lesotho.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Embassy_of_Lesotho%2C_Washington.jpg/150px-Embassy_of_Lesotho%2C_Washington.jpg,15,112,23,150,http://www.lesothoemb-usa.gov.ls/home/,"2511 Massachusetts Avenue NW, Washington, DC",38.916019,-77.05538949999999
 Liberia,5201 16th Street NW,Sixteenth Street Heights,,92,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/23px-Flag_of_Liberia.svg.png,https:,12,0,23,0,http://www.liberianembassyus.org,"5201 16th Street NW, Washington, DC",38.95340650000001,-77.0359818
 Libya,2600 Virginia Avenue NW,Foggy Bottom,,93,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Libya.svg/23px-Flag_of_Libya.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Watergate_Building_Complex_front.jpg/150px-Watergate_Building_Complex_front.jpg,12,113,23,150,http://www.embassyoflibyadc.org,"2600 Virginia Avenue NW, Washington, DC",38.8996183,-77.0554338
 Liechtenstein,2900 K Street NW,Georgetown,,94,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Liechtenstein.svg/23px-Flag_of_Liechtenstein.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Embassy_of_Liechtenstein_in_DC.JPG/150px-Embassy_of_Liechtenstein_in_DC.JPG,14,113,23,150,http://www.liechtensteinusa.org,"2900 K Street NW, Washington, DC",38.9019925,-77.05867889999999
 Lithuania,2622 16th Street NW,Adams Morgan,,95,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/23px-Flag_of_Lithuania.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Lithuanian_embassy.jpg/150px-Lithuanian_embassy.jpg,14,220,23,150,https://usa.mfa.lt/usa/en/,"2622 16th Street NW, Washington, DC",38.9239408,-77.0369939
 Luxembourg,2200 Massachusetts Avenue NW,Embassy Row,,96,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/23px-Flag_of_Luxembourg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Embassy_of_Luxembourg_in_Washington%2C_D.C..JPG/150px-Embassy_of_Luxembourg_in_Washington%2C_D.C..JPG,14,117,23,150,http://washington.mae.lu/en,"2200 Massachusetts Avenue NW, Washington, DC",38.9113041,-77.049138
 Macedonia,2129 Wyoming Avenue NW,Kalorama,,97,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_Macedonia.svg/23px-Flag_of_Macedonia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Embassy_of_Macedonia_%28Washington%2C_D.C.%29.JPG/150px-Embassy_of_Macedonia_%28Washington%2C_D.C.%29.JPG,12,109,23,150,http://www.mfa.gov.mk/index.php/en/diplomatic-network-top/diplomatic-representation-of-the-rm/dkp-north-america,"2129 Wyoming Avenue NW, Washington, DC",38.917698,-77.0481935
 Madagascar,2374 Massachusetts Avenue NW,Embassy Row,,98,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Madagascar.svg/23px-Flag_of_Madagascar.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Embassy_of_Madagascar_United_States.JPG/150px-Embassy_of_Madagascar_United_States.JPG,15,182,23,150,http://www.madagascar-embassy.org/en/,"2374 Massachusetts Avenue NW, Washington, DC",38.9132635,-77.0530059
 Malawi,2408 Massachusetts Avenue NW,Embassy Row,,99,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Flag_of_Malawi.svg/23px-Flag_of_Malawi.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Malawi-dc.jpg/150px-Malawi-dc.jpg,15,200,23,150,http://www.malawiembassy-dc.org,"2408 Massachusetts Avenue NW, Washington, DC",38.9135697,-77.0532307
 Malaysia,3516 International Court NW,North Cleveland Park,,100,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Malaysia.svg/23px-Flag_of_Malaysia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/MalaysianEmbassyWashingtonDC01.jpg/150px-MalaysianEmbassyWashingtonDC01.jpg,12,69,23,150,http://www.kln.gov.my/web/usa_washington/home,"3516 International Court NW, Washington, DC",38.9436172,-77.0691282
 Mali,2130 R Street NW,Kalorama,,101,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/23px-Flag_of_Mali.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/MalianEmbassyWashingtonDC.jpg/150px-MalianEmbassyWashingtonDC.jpg,15,239,23,150,http://www.maliembassy.us,"2130 R Street NW, Washington, DC",38.9123966,-77.0481485
 Malta,2017 Connecticut Avenue NW,Kalorama,,102,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/23px-Flag_of_Malta.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Embassy_of_Malta_United_States.JPG/150px-Embassy_of_Malta_United_States.JPG,15,238,23,150,http://foreignaffairs.gov.mt/en/embassies/me_united_states/Pages/Me_United_States.aspx,"2017 Connecticut Avenue NW, Washington, DC",38.9173724,-77.04670709999999
 Marshall Islands,2433 Massachusetts Avenue NW,Embassy Row,"



",103,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/23px-Flag_of_the_Marshall_Islands.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Embassy_of_the_Marshall_Islands%2C_Washington%2C_D.C..jpg/150px-Embassy_of_the_Marshall_Islands%2C_Washington%2C_D.C..jpg,12,187,23,150,http://www.rmiembassyus.org,"2433 Massachusetts Avenue NW, Washington, DC",38.9149244,-77.05386039999999
 Mauritania,2129 Leroy Place NW,Kalorama,,104,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Mauritania.svg/23px-Flag_of_Mauritania.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Embassy_of_Mauritania.JPG/150px-Embassy_of_Mauritania.JPG,15,244,23,150,http://www.embassy.org/embassies/mr.html,"2129 Leroy Place NW, Washington, DC",38.9156164,-77.0478787
 Mauritius,1709 N Street NW,Downtown,,105,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Mauritius.svg/23px-Flag_of_Mauritius.svg.png,https:,15,0,23,0,http://mfa.govmu.org/portal/sites/mfamission/washington/index.htm,"1709 N Street NW, Washington, DC",38.9074301,-77.0389857
 Mexico,1911 Pennsylvania Avenue NW,Downtown,,106,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/23px-Flag_of_Mexico.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Mexicanembassywashingtondc.jpg/150px-Mexicanembassywashingtondc.jpg,13,177,23,150,http://embamex.sre.gob.mx/eua/,"1911 Pennsylvania Avenue NW, Washington, DC",38.9007164,-77.0440193
 Micronesia,1725 N Street NW,Dupont Circle,,107,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/23px-Flag_of_the_Federated_States_of_Micronesia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Embassy_of_Micronesia_-_Washington%2C_D.C.jpg/150px-Embassy_of_Micronesia_-_Washington%2C_D.C.jpg,12,217,23,150,http://www.fsmembassydc.org,"1725 N Street NW, Washington, DC",38.90741920000001,-77.039479
 Moldova,2101 S Street NW,Kalorama,,108,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Moldova.svg/23px-Flag_of_Moldova.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Embassy_of_Moldova_%28Washington%2C_D.C.%29.JPG/150px-Embassy_of_Moldova_%28Washington%2C_D.C.%29.JPG,12,136,23,150,http://www.sua.mfa.md,"2101 S Street NW, Washington, DC",38.914271,-77.046623
 Monaco,"888 17th Street, NW",Farragut Square,,109,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Monaco.svg/19px-Flag_of_Monaco.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Monaco_Embassy_in_Washington.jpg/150px-Monaco_Embassy_in_Washington.jpg,15,137,19,150,http://monacodc.org,"888 17th Street, NW, Washington, DC",38.9011016,-77.03980399999999
 Mongolia,2833 M Street NW,Georgetown,,110,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Mongolia.svg/23px-Flag_of_Mongolia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Embassy_of_Mongolia%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Mongolia%2C_Washington%2C_D.C..jpg,12,100,23,150,http://mongolianembassy.us,"2833 M Street NW, Washington, DC",38.90549050000001,-77.05793
 Montenegro,1610 New Hampshire Avenue NW,Dupont Circle,,111,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Montenegro.svg/23px-Flag_of_Montenegro.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Embassy_of_Montenegro.JPG/150px-Embassy_of_Montenegro.JPG,12,135,23,150,http://www.mvpei.gov.me/en/sections/Missions/Embassies-and-consulates-of-Montenegro/united-states-of-america,"1610 New Hampshire Avenue NW, Washington, DC",38.9116586,-77.0419416
 Morocco,1601 21st Street NW,Dupont Circle,,112,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/23px-Flag_of_Morocco.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Morocco%2C_Washington.JPG/150px-Morocco%2C_Washington.JPG,15,109,23,150,http://www.embassyofmorocco.us,"1601 21st Street NW, Washington, DC",38.9113268,-77.0464099
 Mozambique,1525 New Hampshire Avenue NW,Dupont Circle,,113,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/23px-Flag_of_Mozambique.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Embassy_of_Mozambique%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Mozambique%2C_Washington%2C_D.C..jpg,15,170,23,150,http://www.embamoc-usa.org,"1525 New Hampshire Avenue NW, Washington, DC",38.910583,-77.04212799999999
 Myanmar,2300 S Street NW,Kalorama,,114,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Myanmar.svg/23px-Flag_of_Myanmar.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Embassy_of_Myanmar%2C_Washington.jpg/150px-Embassy_of_Myanmar%2C_Washington.jpg,15,113,23,150,http://www.mewashingtondc.com,"2300 S Street NW, Washington, DC",38.9139113,-77.0506394
 Namibia,1605 New Hampshire Avenue NW,Dupont Circle,,115,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Namibia.svg/23px-Flag_of_Namibia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Embassy_of_Namibia%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Namibia%2C_Washington%2C_D.C..jpg,15,182,23,150,http://www.namibianembassyusa.org,"1605 New Hampshire Avenue NW, Washington, DC",38.9116528,-77.0412582
 Nepal,2131 Leroy Place NW,Kalorama,,116,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/16px-Flag_of_Nepal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Embassy_of_Nepal.JPG/150px-Embassy_of_Nepal.JPG,20,240,16,150,http://www.nepalembassyusa.org,"2131 Leroy Place NW, Washington, DC",38.91562649999999,-77.04796859999999
 Netherlands,4200 Linnean Avenue NW,Forest Hills,,117,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/23px-Flag_of_the_Netherlands.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Netherlands-embassy-dc.jpg/150px-Netherlands-embassy-dc.jpg,15,113,23,150,http://www.the-netherlands.org,"4200 Linnean Avenue NW, Washington, DC",38.9444639,-77.0563114
 New Zealand,37 Observatory Circle NW,Embassy Row,,118,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/23px-Flag_of_New_Zealand.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/NZ_embassy_NW_DC.jpg/150px-NZ_embassy_NW_DC.jpg,12,112,23,150,http://www.nzembassy.com/usa-washington,"37 Observatory Circle NW, Washington, DC",38.91889940000001,-77.06438059999999
 Nicaragua,1627 New Hampshire Avenue NW,Dupont Circle,,119,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Nicaragua.svg/23px-Flag_of_Nicaragua.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Embassy_of_Nicaragua.JPG/150px-Embassy_of_Nicaragua.JPG,14,128,23,150,http://www.cancilleria.gob.ni/embajadas/index.shtml,"1627 New Hampshire Avenue NW, Washington, DC",38.912388,-77.04056469999999
 Niger,2204 R Street NW,Embassy Row,,120,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Niger.svg/18px-Flag_of_Niger.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Embassy_of_Niger%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Niger%2C_Washington%2C_D.C..jpg,15,220,18,150,http://www.embassyofniger.org,"2204 R Street NW, Washington, DC",38.9124381,-77.0492278
