Embassy,Location,Neighborhood,Image,Notes,Flag_url,Image_url,Flag_height,Image_height,Flag_width,Image_width,Reference_url,Location_query,lat,lng
 Barbados,"2144 Wyoming Avenue NW
",Kalorama,,14,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/23px-Flag_of_Barbados.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Embassy_of_Barbados.jpg/150px-Embassy_of_Barbados.jpg,15,196,23,150,http://foreign.gov.bb/pageselect.cfm?page=28,"2144 Wyoming Avenue NW
, Washington, DC",38.9170014,-77.0487782
 Belarus,1619 New Hampshire Avenue NW,Dupont Circle,,15,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/23px-Flag_of_Belarus.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Embassy_of_Belarus.jpg/150px-Embassy_of_Belarus.jpg,12,192,23,150,http://usa.mfa.gov.by/en/,"1619 New Hampshire Avenue NW, Washington, DC",38.9121224,-77.0406793
 Belgium,3330 Garfield Street NW,Woodley Park,,16,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/23px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Embassy_of_Belgium%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Belgium%2C_Washington%2C_D.C..jpg,15,196,23,150,http://countries.diplomatie.belgium.be/en/united_states/,"3330 Garfield Street NW, Washington, DC",38.9271508,-77.0659129
 Belize,2535 Massachusetts Avenue NW,Embassy Row,,17,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/23px-Flag_of_Belize.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Embassy_of_Belize%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Belize%2C_Washington%2C_D.C..jpg,15,163,23,150,http://www.embassyofbelize.org,"2535 Massachusetts Avenue NW, Washington, DC",38.9166366,-77.05624399999999
 Benin,2124 Kalorama Road NW,Kalorama,,18,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Benin.svg/23px-Flag_of_Benin.svg.png,https:,15,0,23,0,http://www.beninembassy.us,"2124 Kalorama Road NW, Washington, DC",38.9180348,-77.049048
 Bolivia,3014 Massachusetts Avenue NW,Embassy Row,,19,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Bolivia.svg/22px-Flag_of_Bolivia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/BolivianEmbassyChanceryWashingtonDC01.jpg/150px-BolivianEmbassyChanceryWashingtonDC01.jpg,15,79,22,150,http://www.bolivia-usa.org,"3014 Massachusetts Avenue NW, Washington, DC",38.9192635,-77.061056
 Bosnia and Herzegovina,2109 E Street NW,Foggy Bottom,,20,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/23px-Flag_of_Bosnia_and_Herzegovina.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Embassy_of_Bosnia_and_Herzegovina%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Bosnia_and_Herzegovina%2C_Washington%2C_D.C..jpg,12,192,23,150,http://www.mvp.gov.ba/ambasade_konzulati_misije/ambasade_konzulati_i_stalne_misije_bih/Default.aspx?template_id=16&s1=735&id=6978,"2109 E Street NW, Washington, DC",38.8961806,-77.0472265
 Botswana,1531-3 New Hampshire Avenue NW,Dupont Circle,,21,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/23px-Flag_of_Botswana.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Embassy_of_Botswana%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Botswana%2C_Washington%2C_D.C..jpg,15,197,23,150,http://www.botswanaembassy.org,"1531-3 New Hampshire Avenue NW, Washington, DC",38.9101985,-77.04287289999999
 Brazil,3006 Massachusetts Avenue NW,Embassy Row,,22,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Brazil%2C_Washington.jpg/150px-Brazil%2C_Washington.jpg,15,105,22,150,http://washington.itamaraty.gov.br/en-us/,"3006 Massachusetts Avenue NW, Washington, DC",38.9189641,-77.0608841
 Brunei Darussalam,3520 International Court NW,North Cleveland Park,,23,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Brunei.svg/23px-Flag_of_Brunei.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/BruneianEmbassyWashingtonDC01.jpg/150px-BruneianEmbassyWashingtonDC01.jpg,12,106,23,150,http://www.bruneiembassy.org,"3520 International Court NW, Washington, DC",38.9444746,-77.0692631
 Bulgaria,1621 22nd Street NW,Embassy Row,,24,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/23px-Flag_of_Bulgaria.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Embassy_of_Bulgaria%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Bulgaria%2C_Washington%2C_D.C..jpg,14,118,23,150,http://www.bulgaria-embassy.org,"1621 22nd Street NW, Washington, DC",38.9123845,-77.0485758
